m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
1,1,1,1,64,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],9.700740814208984,6.354500770568848,3.3462398052215576,0.0,True,261.327392578125,8730733.560113695,0.6984586848090956,41-41,16,1,0
1,1,1,1,64,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],9.700740814208984,6.354500770568848,3.3462398052215576,0.0,True,101.61548614501953,8730733.560113695,0.6984586848090956,41-41,16,1,0
1,1,1,1,64,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],9.700740814208984,6.354500770568848,3.3462398052215576,0.0,True,101.61548614501953,8730733.560113695,0.6984586848090956,41-41,16,1,0
2,1,2,1,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.000273704528809,8.332548141479492,1.6677252054214478,0.0,True,56.557491302490234,9000315.224850336,0.7200252179880269,41-41,16,4,0
1,2,2,1,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.000273704528809,8.332548141479492,1.6677252054214478,0.0,True,165.38621520996094,9000315.224850336,0.7200252179880269,41-41,16,4,0
2,1,2,1,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.000273704528809,8.332548141479492,1.6677252054214478,0.0,True,134.96434020996094,9000315.224850336,0.7200252179880269,41-41,16,4,0
1,2,2,1,32,zero2,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.000273704528809,8.332548141479492,1.6677252054214478,0.0,True,86.9793701171875,9000315.224850336,0.7200252179880269,41-41,16,4,0
1,2,2,1,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.000273704528809,8.332548141479492,1.6677252054214478,0.0,True,86.9793701171875,9000315.224850336,0.7200252179880269,41-41,16,4,0
4,1,4,1,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.76430606842041,9.936861991882324,0.8274437785148621,0.0,False,34.028648376464844,9687949.61568684,0.7750359692549471,41-41,16,9,1
2,2,4,1,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],10.76430606842041,9.936861991882324,0.8274437785148621,0.0,True,53.536460876464844,9687949.61568684,0.7750359692549471,41-41,16,9,0
